LOC100506869	NR_126341.1
KRTAP2-3	NM_001165252.1
KRTAP2-3	NM_001165252.1.2
KRTAP2-2	NM_033032.2
KRTAP2-2	NM_033032.2.2
KRTAP2-1	NM_001123387.1.2
KRTAP2-1	NM_001123387.1
KRTAP2-4	NM_033184.3.2
KRTAP2-4	NM_033184.3
MIR4708	NR_039857.1
MIR4709	NR_039858.1
MIR4704	NR_039853.1
MIR4705	NR_039854.1
MIR4706	NR_039855.1
MIR4707	NR_039856.1
MIR4700	NR_039849.1
MIR4701	NR_039850.2
MIR4703	NR_039852.1
SBF1P1	NR_027765.2
LOC101928030	NR_120481.1
LOC101928034	NR_125947.1
LOC101928035	NR_104657.1
VMP1	NM_030938.3
EPN2-AS1	NR_048576.1
NR1D1	NM_021724.4
NR1D2	NM_005126.4
UFSP1	NM_001015072.3
OGFR	NM_007346.2
LOC151121	NR_122040.1
PTCH2	NM_003738.4
PTCH1	NM_000264.3
AOAH-IT1	NR_046764.1
TIMM44	NM_006351.3
RAD9B	NM_152442.3
RAD9A	NM_004584.2
ERGIC2	NM_016570.2
ERGIC3	NM_198398.1
ERGIC1	NM_001031711.2
MIR3165	NR_036123.1
MIR3164	NR_036122.1
MIR3167	NR_036126.1
MIR3166	NR_036124.1
MIR3161	NR_036119.1
MIR3163	NR_036121.1
MIR3162	NR_036120.1
B3GAT3	NM_012200.3
B3GAT2	NM_080742.2
B3GAT1	NM_018644.3
MIR3169	NR_036128.1
MIR3168	NR_036127.1
CALM2	NM_001305624.1
TTC30A	NM_152275.3
TTC30B	NM_152517.2
CALM1	NM_006888.4
GSDMA	NM_178171.4
GSDMB	NM_001165958.1
GSDMC	NM_031415.2
GSDMD	NM_001166237.1.2
GSDMD	NM_001166237.1
UPK1A	NM_001281443.1
UPK1B	NM_006952.3
DLGAP2	NM_004745.4
DLGAP2	NM_004745.4.2
DLGAP2	NM_004745.4.3
DLGAP3	NM_001080418.2
DLGAP1	NM_004746.3
DLGAP4	NM_014902.5
DLGAP5	NM_014750.4
MIR7973-1	NR_107012.1
MIR7973-2	NR_107013.1
FBXL14	NM_152441.2
OIP5	NM_007280.1
MIR502	NR_030226.1
FBXL19	NM_001099784.2
INO80B-WBP1	NR_037849.1
MIR506	NR_030233.1
PTPN18	NM_014369.3
MIR505	NR_030230.1
PTPN13	NM_080685.2
PTPN12	NM_002835.3
PTPN11	NM_002834.3
PTPN14	NM_005401.4
LYAR	NM_001145725.1
LOC145694	NR_132969.1
MIR548AG1	NR_039652.1
C2orf81	NM_001316764.1
C2orf80	NM_001099334.2
C2orf83	NM_020161.3
SNORA81	NR_002989.1
SNORA86	NR_132768.1
SNORA87	NR_132769.1
SNORA84	NR_003704.2
C2orf88	NM_001042519.1
SNORA88	NR_132770.1
SNORA89	NR_132771.1
MSMP	NM_001044264.2
MZB1	NM_016459.3
TRAPPC6B	NM_001079537.1
HLA-DQB1	NM_001243961.1
HLA-DQB1	NM_001243962.1
HLA-DQB1	NM_001243962.1.2
MSMB	NM_002443.3
HLA-DQB2	NM_001300790.1
HLA-DQB2	NM_001300790.1.3
HLA-DQB2	NM_001300790.1.4
HLA-DQB2	NM_001300790.1.5
HLA-DQB2	NM_001300790.1.6
HLA-DQB2	NM_001300790.1.2
HLA-DQB2	NM_001300790.1.7
HLA-DQB2	NM_001300790.1.8
LOC100129027	NR_038876.1
CDK7	NM_001799.3.2
CDK7	NM_001799.3
MIR4313	NR_036198.1
FOXS1	NM_004118.3
HAPLN4	NM_023002.2
LOC643733	NR_034078.1
MCHR2	NM_001040179.1
MIR4312	NR_036197.1
CAMKK2	NM_001270485.1
CAMKK1	NM_172207.2
MYDGF	NM_019107.3
MIR4311	NR_036196.1.2
MIR4311	NR_036196.1
CHMP3	NM_016079.3
RPL36AL	NM_001001.4
CHMP7	NM_152272.3
CHMP6	NM_024591.4
CHMP5	NM_016410.5
LOC100652758	NR_132345.1
OR52N5	NM_001001922.2
OR52N2	NM_001005174.1
OR52N1	NM_001001913.1
LY6G6C	NM_025261.2.3
LY6G6C	NM_025261.2.2
LY6G6C	NM_025261.2.7
LY6G6C	NM_025261.2.6
LY6G6C	NM_025261.2.5
LY6G6C	NM_025261.2.4
LY6G6C	NM_025261.2
LY6G6D	NM_021246.2
LY6G6D	NM_021246.2.2
LY6G6D	NM_021246.2.3
LY6G6D	NM_021246.2.4
LY6G6D	NM_021246.2.5
LY6G6D	NM_021246.2.6
LY6G6D	NM_021246.2.7
LY6G6E	NR_003673.3
LY6G6E	NR_003673.3.5
LY6G6E	NR_003673.3.4
LY6G6E	NR_003673.3.7
LY6G6E	NR_003673.3.6
LY6G6E	NR_003673.3.3
LY6G6E	NR_003673.3.2
LY6G6F	NM_001003693.1
LY6G6F	NM_001003693.1.2
LY6G6F	NM_001003693.1.3
LY6G6F	NM_001003693.1.6
LY6G6F	NM_001003693.1.7
LY6G6F	NM_001003693.1.4
LY6G6F	NM_001003693.1.5
HOXA10	NM_018951.3
GALNTL5	NM_145292.3
GALNTL6	NM_001034845.2
TDH	NR_001578.1
KRTAP11-1	NM_175858.2
TDG	NM_003211.4
SCAMP1-AS1	NR_105014.1
HN1	NM_001002032.2
GOLGA8IP	NR_024074.1.5
GOLGA8IP	NR_024074.1.4
GOLGA8IP	NR_024074.1
GOLGA8IP	NR_024074.1.3
GOLGA8IP	NR_024074.1.2
TBX2	NM_005994.3
LRRC27	NM_001143757.1
LRRC26	NM_001013653.2
KIAA1524	NM_020890.2
LRRC24	NM_001024678.3
LRRC23	NM_001135217.1
MPDU1	NM_004870.3
LRRC20	NM_001278211.1
LRRC29	NM_001004055.1
LRRC28	NM_144598.3
GCNT4	NM_016591.2
GCNT7	NM_080615.1
GCNT1	NM_001097633.1
GCNT3	NM_004751.2
GCNT2	NM_145649.4
LPCAT4	NM_153613.2
LPCAT2	NM_017839.4
LPCAT3	NM_005768.5
LPCAT1	NM_024830.3.2
LPCAT1	NM_024830.3
TAGLN	NM_001001522.1
CCDC178	NM_001308126.1
CCDC179	NM_001195637.1
ALPP	NM_001632.4
MIR513B	NR_031708.1
MIR513C	NR_031709.1
CCDC170	NM_025059.3
CCDC171	NM_173550.2
CCDC172	NM_198515.2
CCDC173	NM_001085447.1
CCDC174	NM_016474.4
CCDC175	NM_001164399.1
CCDC177	NM_001271507.1
PDK1	NM_001278549.1
PDK3	NM_001142386.2
PDK2	NM_002611.4
EBP	NM_006579.2
PDK4	NM_002612.3
LNPEP	NM_005575.2
ALPI	NM_001631.4
SEC61A1	NM_013336.3
SEC61A2	NM_018144.3
ALPL	NM_000478.4
PECR	NM_018441.5
MIR193A	NR_029710.1
MIR193B	NR_030177.1
HAS2-AS1	NR_002835.2
LOC400620	NR_040020.1
LOC100507412	NR_038958.1
LOC100507412	NR_038958.1.2
LOC100507412	NR_038958.1.3
LINC01090	NR_126396.1
LINC01093	NR_039975.1
LINC01095	NR_038331.1
LINC01094	NR_038303.1
LINC01097	NR_034054.1
LINC01096	NR_015450.1
INMT-FAM188B	NR_037598.1
LINC01098	NR_028342.1
CTAGE11P	NR_027466.1
D21S2088E	NR_040254.1
DDIT3	NM_001195053.1
DDIT4	NM_019058.2
DOCK9-AS1	NR_046663.1
RIIAD1	NM_001144956.1
GOLGA8T	NR_033933.1.5
GOLGA8T	NR_033933.1.4
GOLGA8T	NR_033933.1
GOLGA8T	NR_033933.1.3
GOLGA8T	NR_033933.1.2
OR5R1	NM_001004744.1
GOLGA8S	NR_038843.1
GOLGA8R	NM_001282484.1.2
GOLGA8R	NM_001282484.1
GOLGA8M	NM_001282468.1
GOLGA8M	NM_001282468.1.2
GOLGA8M	NM_001282468.1.3
GOLGA8O	NM_001277308.1.2
GOLGA8O	NM_001277308.1
GOLGA8N	NM_001282494.1
GOLGA8N	NM_001282494.1.5
GOLGA8N	NM_001282494.1.4
GOLGA8N	NM_001282494.1.3
GOLGA8N	NM_001282494.1.2
GOLGA8H	NM_001282490.1.3
GOLGA8H	NM_001282490.1.2
GOLGA8H	NM_001282490.1.5
GOLGA8H	NM_001282490.1.4
GOLGA8H	NM_001282490.1
GOLGA8K	NM_001282493.1.2
GOLGA8K	NM_001282493.1
GOLGA8J	NM_001282472.1.3
GOLGA8J	NM_001282472.1.2
GOLGA8J	NM_001282472.1
GOLGA8J	NM_001282472.1.4
GOLGA8G	NR_033353.1.2
GOLGA8G	NR_033353.1.3
GOLGA8G	NR_033353.1.6
GOLGA8G	NR_033353.1.7
GOLGA8G	NR_033353.1.4
GOLGA8G	NR_033353.1.5
GOLGA8G	NR_033353.1.8
GOLGA8G	NR_033353.1.9
GOLGA8G	NR_033353.1
GOLGA8F	NR_033351.1.7
GOLGA8F	NR_033351.1.6
GOLGA8F	NR_033351.1.5
GOLGA8F	NR_033351.1.4
GOLGA8F	NR_033351.1.3
GOLGA8F	NR_033351.1.2
GOLGA8F	NR_033351.1
GOLGA8F	NR_033351.1.9
GOLGA8F	NR_033351.1.8
GOLGA8A	NM_181077.3
GOLGA8B	NM_001023567.4
CT45A9	NM_001291540.1
CT45A9	NM_001291540.1.2
CT45A9	NM_001291540.1.3
CT45A8	NM_001291535.1
CT45A8	NM_001291535.1.3
CT45A8	NM_001291535.1.2
EPHB1	NM_004441.4
CT45A1	NM_001017417.2
CT45A3	NM_001017435.1
CT45A2	NM_152582.6.3
CT45A2	NM_152582.6.2
CT45A2	NM_152582.6
CT45A5	NM_001007551.4.2
CT45A5	NM_001007551.4.3
CT45A5	NM_001007551.4
CT45A4	NM_001017436.1
CT45A7	NM_001291543.1.2
CT45A7	NM_001291543.1.3
CT45A7	NM_001291543.1
CT45A6	NM_001017438.2.3
CT45A6	NM_001017438.2.2
CT45A6	NM_001017438.2
FTCDNL1	NR_034096.1
VMO1	NM_182566.2
OGFR-AS1	NR_102430.1
ATP5C1	NM_001001973.1
MIR639	NR_030369.1
MIR638	NR_030368.1
MIR635	NR_030365.1
MIR634	NR_030364.1
MIR637	NR_030367.1
MIR636	NR_030366.1
MIR631	NR_030360.1
MIR630	NR_030359.1
MIR633	NR_030363.1
MIR632	NR_030362.1
LINC00320	NR_109786.1
NPC2	NM_006432.3
LINC00322	NR_103713.2
GATA3-AS1	NR_024256.1
LINC00324	NR_026951.1
LINC00326	NR_026969.1
LINC00327	NR_038995.1
C3orf58	NM_173552.3
RAB3GAP2	NM_012414.3
BHLHA15	NM_177455.3
RAB3GAP1	NM_001172435.1
C3orf52	NM_001171747.1
C3orf56	NM_001007534.2
DAG1	NM_001165928.3
ETHE1	NM_014297.3
LOC100996579	NR_110163.1
RER1	NM_007033.4
KDM1A	NM_001009999.2
KDM1B	NM_153042.3
CKS1B	NM_001826.2
OR1S1	NM_001004458.1
OR1S2	NM_001004459.1
MIR2355	NR_036227.1
RBM14-RBM4	NM_001198845.1
FCER1G	NM_004106.1
BTG4	NM_017589.3
BTG3	NM_001130914.1
BTG3	NM_001130914.1.2
BTG2	NM_006763.2
BTG1	NM_001731.2
LOC102723344	NR_120375.1
SRD5A3	NM_024592.4
SRD5A2	NM_000348.3
SRD5A1	NM_001047.2
ARMT1	NM_024573.2
EIF1AX-AS1	NR_046592.2
GGA1	NM_013365.4
GGA3	NM_138619.3
GGA2	NM_015044.4
LOC101929726	NM_001315494.1
FHOD1	NM_013241.2
FHOD3	NM_001281740.2
GJC2	NM_020435.3
C4orf3	NM_001170330.1
GJC1	NM_001080383.1
PSMB9	NM_002800.4
PSMB9	NM_002800.4.2
PSMB9	NM_002800.4.3
PSMB9	NM_002800.4.6
PSMB9	NM_002800.4.7
PSMB9	NM_002800.4.4
PSMB9	NM_002800.4.5
PSMB9	NM_002800.4.8
PSMB8	NM_148919.3.5
PSMB8	NM_148919.3.7
PSMB8	NM_148919.3.6
PSMB8	NM_148919.3.4
PSMB8	NM_148919.3.3
PSMB8	NM_148919.3.2
PSMB8	NM_148919.3.8
PSMB8	NM_148919.3
STAMBPL1	NM_020799.3
PSMB6	NM_002798.2
PSMB5	NM_002797.4
C14orf119	NM_017924.3
PSMB3	NM_002795.3.2
PSMB3	NM_002795.3
PSMB2	NM_002794.4
PSMB1	NM_002793.3
LMBR1L	NM_018113.3
PNMA1	NM_006029.4
TDGF1	NM_003212.3
ACKR3	NM_020311.2
PNMA3	NM_013364.5
PNMA2	NM_007257.5
SNORD115-10	NR_003302.1.4
SNORD115-10	NR_003302.1.5
SNORD115-10	NR_003302.1
SNORD115-10	NR_003302.1.2
SNORD115-10	NR_003302.1.3
LTN1	NM_015565.2
TRIML2	NM_001303419.1
LOC101928231	NR_125852.1
C9orf142	NM_183241.1
TRIML1	NM_178556.3
NACC2	NM_144653.4
VPS13D	NM_015378.3
NACC1	NM_052876.3
VPS13A	NM_033305.2
SH3KBP1	NM_031892.2
VPS13C	NM_020821.2
VPS13B	NM_017890.4
BEX5	NM_001012978.2
BEX4	NM_001080425.3
LOC101929181	NR_104624.1
BEX2	NM_001168399.1
BEX1	NM_018476.3
TMEM160	NM_017854.1
TMEM163	NM_030923.4
TMEM165	NM_018475.4
TMEM164	NM_032227.3
EVI2A	NM_001003927.2
TMEM168	NM_001287497.1
EVI2B	NM_006495.3
FOXN1	NM_003593.2
FOXN2	NM_002158.3
FOXN3	NM_001085471.1
NICN1	NM_032316.3
COL14A1	NM_021110.2
FAHD2A	NM_016044.2
TAP1	NM_000593.5
TAP1	NM_000593.5.6
TAP1	NM_000593.5.7
TAP1	NM_000593.5.2
TAP1	NM_000593.5.3
TAP1	NM_000593.5.4
TAP1	NM_000593.5.5
TAP1	NM_000593.5.8
TAP2	NM_000544.3.4
TAP2	NM_000544.3.5
TAP2	NM_000544.3.3
TAP2	NM_000544.3.6
TAP2	NM_000544.3.2
TAP2	NM_000544.3
TAP2	NM_000544.3.7
TAP2	NM_000544.3.8
SNAP91	NM_001242792.1
C11orf31	NM_170746.2
LOC100288798	NR_125377.1
PHTF2	NM_001127357.1
MACROD2	NM_080676.5
MACROD1	NM_014067.3
SEP15	NM_004261.3
NALT1	NR_121577.1
LOC730183	NM_001256932.1
KRR1	NM_007043.6
FAM64A	NM_001195228.1
NNT-AS1	NR_073113.1
LINC01215	NR_110028.1
LINC01214	NR_110186.1
FAM92A1	NM_145269.4
LINC01213	NR_110167.1
OR5T1	NM_001004745.1
OR5T1	NM_001004745.1.2
LINC01212	NR_110000.1
C8orf49	NR_103552.1
C8orf48	NM_001007090.2
C8orf46	NM_152765.3
C8orf44	NM_019607.2
TP53I3	NM_004881.4
MB	NM_005368.2
SLC18A3	NM_003055.2
SLC18A2	NM_003054.4
SLC18A1	NM_001135691.2
STRC	NM_153700.2
RALBP1	NM_006788.3
TMEM179	NM_001286389.1.2
TMEM179	NM_001286389.1
B3GALT5-AS1	NR_026542.1
ZNF831	NM_178457.2
ZNF830	NM_052857.3
ZNF835	NM_001005850.2
ZNF837	NM_138466.1
ZNF836	NM_001102657.1
ZNF839	NM_018335.4
LRIF1	NM_018372.3
OXCT2P1	NR_132962.1
PHAX	NM_032177.3
CLYBL-AS2	NR_046526.1
CLYBL-AS1	NR_120383.1
MLK7-AS1	NR_033882.1
TUNAR	NR_132398.1
SUGCT	NM_001193311.1
TSPY8	NM_001243721.1.2
TSPY8	NM_001243721.1
MIR4773-2	NR_039932.1
MIR4773-1	NR_039931.1
TSPY4	NM_001164471.1.2
TSPY4	NM_001164471.1
TSPY3	NM_001077697.2.4
TSPY3	NM_001077697.2.2
TSPY3	NM_001077697.2.3
TSPY3	NM_001077697.2
TSPY2	NM_022573.2
TSPY1	NM_003308.3
MED4-AS1	NR_046511.1
RAB33A	NM_004794.2
SLC17A9	NM_022082.3
RAB33B	NM_031296.1
SLC17A4	NM_005495.2
SLC17A5	NM_012434.4
SLC17A6	NM_020346.2
SLC17A7	NM_020309.3
SLC17A1	NM_005074.3
SLC17A2	NM_001286123.1
SLC17A3	NM_001098486.1
C16orf58	NM_022744.3
C16orf59	NM_025108.2
C16orf52	NM_001164579.1
WASIR2	NR_130735.1
ITCH	NM_001257137.1
CHMP4A	NM_014169.3
CHMP4B	NM_176812.4
CHMP4C	NM_152284.3
COBLL1	NM_001278458.1
TMEM255B	NM_182614.2
TMEM255A	NM_017938.3
ST5	NM_005418.3
ST7	NM_021908.2
ZNF304	NM_001290318.1
STH	NM_001007532.2
STH	NM_001007532.2.2
STH	NM_001007532.2.3
ZNF302	NM_001289181.1
ZNF300	NM_001172831.1
MIR4534	NR_039759.1
STS	NM_000351.4
TP53TG3	NM_016212.4.6
TP53TG3	NM_016212.4
TP53TG3	NM_016212.4.4
TP53TG3	NM_016212.4.2
TP53TG3	NM_016212.4.3
TP53TG3	NM_016212.4.5
MIR4531	NR_039756.1
TP53TG1	NR_015381.1
PPP3CA	NM_000944.4
PPP3CB	NM_001142353.2
PPP3CC	NM_001243974.1
LIF	NM_002309.4
GPATCH8	NM_001002909.3
TTC21B-AS1	NR_038983.1
RPL13	NM_000977.3
GACAT2	NR_120598.1
GACAT3	NR_126559.1
GACAT1	NR_126369.1
LINC01402	NR_126557.1
ADRA2A	NM_000681.3
ADRA2B	NM_000682.6
ADRA2C	NM_000683.3
TEX26	NM_152325.1
TEX22	NM_001195082.1
FAM45BP	NR_027141.2
TEX28	NM_001205201.1
TEX29	NM_001303133.1
SYT8	NM_001290332.1
LINC01252	NR_033890.1
LINC01251	NR_109755.1
LINC01250	NR_110228.1
LINC01257	NR_026670.2
MTCH2	NM_001317231.1
MTCH1	NM_001271641.1
LINC01254	NR_110775.1
LOC79160	NR_125359.1
SYT2	NM_001136504.1
SYT3	NM_001160328.1
SYT4	NM_020783.3
SYT5	NM_003180.2
SYT6	NM_001270805.1
SYT7	NM_001252065.1
TIAL1	NM_001033925.1
PRAMEF36P	NR_111945.1.3
PRAMEF36P	NR_111945.1.2
PRAMEF36P	NR_111945.1
PRAMEF36P	NR_111945.1.4
FUBP3	NM_003934.1
FUBP1	NM_001303433.1
SCHIP1	NM_014575.3
CTBP1-AS2	NR_033339.1
MARCO	NM_006770.3
SAP30	NM_003864.3
NBL1	NM_182744.3
C3orf67-AS1	NR_110820.1
HSFX2	NM_001164415.2
HSFX2	NM_001164415.2.2
HSFX1	NM_016153.2.2
HSFX1	NM_016153.2
DRC7	NM_001289162.1
DRC3	NM_001130090.1
DRC1	NM_145038.4
C1orf53	NM_001024594.2
C1orf52	NM_198077.3
C1orf50	NM_024097.3
C1orf56	NM_017860.3
C1orf54	NM_001301039.1
MARC1	NM_022746.3
MARC2	NM_001317338.1
MIPEPP3	NR_038939.1
APCDD1L-AS1	NR_034147.1
MIR181A1HG	NR_040073.1
SMPD4	NM_017951.4
SMPD1	NM_000543.4
SMPD3	NM_018667.3
SMPD2	NM_003080.2
BRIP1	NM_032043.2
PDE11A	NM_016953.3
LOC102477328	NR_105007.1
TTC28	NM_001145418.1
TTC29	NM_001300761.1
TTC24	NM_001105669.2
TTC25	NM_031421.3
TTC26	NM_024926.3
TTC27	NM_017735.4
PATL2	NM_001145112.1
TTC22	NM_001114108.1
TTC23	NM_001288615.1
ENO1	NM_001428.3
ENO2	NM_001975.2
ENO3	NM_001976.4
ENO4	NM_001242699.1
PCSK6-AS1	NR_132373.1
LOC101929331	NR_121587.1
OIP5-AS1	NR_026757.1
LOC728613	NR_003713.1
CBX3P2	NR_033754.2
ANKFY1	NM_001257999.1
OBSCN	NM_001271223.2
MCL1	NM_021960.4
SORBS1	NM_001034954.1
SORBS3	NM_005775.4
SORBS2	NM_001270771.1
ODC1	NM_001287189.1
IL18RAP	NM_003853.3
EOMES	NM_001278182.1
BCDIN3D-AS1	NR_027499.1
MIR873	NR_030618.1
KCTD21-AS1	NR_102280.1
MIR877	NR_030615.1.2
MIR877	NR_030615.1.3
MIR877	NR_030615.1.4
MIR877	NR_030615.1.5
MIR877	NR_030615.1.6
MIR877	NR_030615.1.7
MIR877	NR_030615.1
MIR876	NR_030597.1
MIR875	NR_030596.1
MIR874	NR_030588.1
CGB1	NM_033377.1
PDSS1	NM_014317.3
IL17RB	NM_018725.3
FKBP14	NM_017946.3
FKBP15	NM_015258.1
UBE2J1	NM_016021.2
FKBP10	NM_021939.3
FKBP11	NM_016594.2
FBXO10	NM_012166.2
FBXO11	NM_001190274.1
FBXO16	NM_172366.3
FBXO17	NM_148169.2
FBXO15	NM_001142958.1
MIR1321	NR_031710.1
AGAP1-IT1	NR_131900.1
SFTA3	NM_001101341.1
SFTA2	NM_205854.2
SFTA2	NM_205854.2.3
SFTA2	NM_205854.2.2
SFTA2	NM_205854.2.5
SFTA2	NM_205854.2.4
SFTA2	NM_205854.2.6
MIRLET7F1	NR_029483.1
SNORD48	NR_002745.1
SNORD48	NR_002745.1.5
SNORD48	NR_002745.1.4
SNORD48	NR_002745.1.3
SNORD48	NR_002745.1.2
CNGB1	NM_001297.4
KIAA2013	NM_138346.2
SNORD41	NR_002751.1
SNORD47	NR_002746.1
BCLAF1	NM_014739.2
SNORD44	NR_002750.2
PLA2G6	NM_003560.2
PLA2G7	NM_001168357.1
PLA2G5	NM_000929.2
PLA2G3	NM_015715.4
GDPGP1	NM_001013657.2
CCDC77	NM_032358.3
KRTAP1-3	NM_030966.1
KRTAP1-3	NM_030966.1.2
KRTAP1-4	NM_001257305.1
KRTAP1-4	NM_001257305.1.2
KRTAP1-5	NM_031957.1.2
KRTAP1-5	NM_031957.1
CCDC70	NM_031290.2
CCDC71	NM_022903.3
LOC101928535	NR_120552.1
CCDC78	NM_001031737.2
CCDC79	NM_001136505.1
HIST3H2BB	NM_175055.2
SNORD4B	NR_000009.1
SNORD4A	NR_000010.1
GHITM	NM_014394.2
LOC100128714	NR_040082.1
LOC100506585	NR_038966.1
CSHL1	NM_022579.1
OSGIN2	NM_001126111.1
FKBP1B	NM_004116.3
FKBP1A	NM_000801.4
OSGIN1	NM_182981.2
LOC100506639	NR_102752.1
MAP10	NM_019090.2
ELFN1-AS1	NR_120508.1
LGALS9C	NM_001040078.2
LGALS9B	NM_001042685.1
UNC50	NM_014044.5
NKAIN4	NM_152864.3
NKAIN3	NM_001304533.1
NKAIN2	NM_001040214.2
NKAIN1	NM_024522.2
MAP1A	NM_002373.5
MAP1B	NM_005909.3
IGSF9B	NM_001277285.1
UNC5B	NM_170744.4
UNC5C	NM_003728.3
VGF	NM_003378.3
UNC5A	NM_133369.2
UNC5D	NM_080872.2
MAP1S	NM_018174.5
CCP110	NM_001199022.1
LOC101927839	NR_110888.1
ANKRD19P	NR_026868.1
LOC101927830	NR_109985.1
LOC101927830	NR_109985.1.2
LOC101927835	NR_105064.1
RPL18A	NM_000980.3
EHMT1-IT1	NR_024341.1
CLEC18A	NM_001136214.2
CLEC18C	NM_173619.3
CLEC18B	NM_001011880.2
BORCS7	NM_001136200.1
BORCS6	NM_017622.2
BORCS5	NM_058169.4
BORCS8	NM_001145784.1
SDR42E1	NM_145168.2
ALOX12B	NM_001139.2
EPB41L1	NM_012156.2
PPCDC	NM_021823.4
EPB41L3	NM_012307.3
EPB41L2	NM_001431.3
EPB41L5	NM_020909.3
ACSS3	NM_024560.2
ACSS2	NM_001076552.2
ACSS1	NM_032501.3
KIDINS220	NM_020738.2
PUDP	NM_001135565.1
RUNDC3A	NM_001144825.1
DFNA5	NM_001127453.1
MAGEH1	NM_014061.4
WNT3	NM_030753.4
WNT3	NM_030753.4.2
WNT3	NM_030753.4.3
WNT2	NM_003391.2
WNT1	NM_005430.3
LRRN4	NM_152611.4
LRRN3	NM_001099658.1
WNT6	NM_006522.3
