OR5J7P	ENST00000534621
PPDPF	ENST00000370177
MTND2P9	ENST00000422293
DUXAP8	ENST00000456786
AC006037.2	ENST00000437967
OR51F1	ENST00000380383
RP11-320L11.2	ENST00000524828
RP11-166B2.3	ENST00000568144
RP11-173B14.4	ENST00000422931
ZDHHC13	ENST00000446113
GPR152	ENST00000312457
RP11-103J8.2	ENST00000605338
VPS11	ENST00000571749
VPS11	ENST00000300793
AC092669.6	ENST00000412313
RN7SL624P	ENST00000580297
GPR179	ENST00000569367
GPR179	ENST00000342292
DCTN5	ENST00000300087
RP11-334A14.2	ENST00000414168
RP11-676J12.7	ENST00000576252
RP11-295P9.12	ENST00000609756
HSD11B2	ENST00000326152
CTB-131B5.2	ENST00000508713
SFTA2	ENST00000457919
SFTA2	ENST00000454649
SFTA2	ENST00000383539
SFTA2	ENST00000429290
SFTA2	ENST00000448586
SFTA2	ENST00000359086
FAM218A	ENST00000513876
RP11-443F16.1	ENST00000420122
RP11-24J19.1	ENST00000557683
AC073264.6	ENST00000448886
DEFB126	ENST00000382398
MTND5P6	ENST00000422338
REEP5	ENST00000379638
FARP1	ENST00000376586
RNU6-719P	ENST00000516671
TTTY17A	ENST00000416110
RP11-544A12.4	ENST00000589540
ANXA9	ENST00000368947
TXNRD2	ENST00000400521
CTC-260F20.3	ENST00000555938
EIF4EBP2P3	ENST00000403144
SCML4	ENST00000369020
MMP12	ENST00000532855
MMP12	ENST00000571244
OR2C1	ENST00000304936
AIFM1P1	ENST00000413342
RP11-472F14.4	ENST00000451028
LINC00896	ENST00000609602
ZFP91	ENST00000316059
RNU6-694P	ENST00000364071
USP24P1	ENST00000433802
RPS16P5	ENST00000406501
RP11-399K21.13	ENST00000609182
VPS33B	ENST00000333371
RP11-366H4.3	ENST00000501322
MYOZ1	ENST00000359322
PPP1R37	ENST00000221462
SLC25A51P2	ENST00000535708
RP11-813P10.1	ENST00000550105
RP11-34P13.7	ENST00000466430
RP11-510I6.3	ENST00000509365
RP11-445O16.2	ENST00000404529
RP11-247I13.11	ENST00000483736
RN7SL317P	ENST00000497408
AHCYP7	ENST00000560847
BRWD1-IT1	ENST00000435608
BTBD9	ENST00000403056
SLC15A1	ENST00000376503
PPP1R1AP2	ENST00000561752
C4orf50	ENST00000531445
AFAP1L1	ENST00000296721
ZNF736P8Y	ENST00000451913
RGS11	ENST00000397770
OSTM1-AS1	ENST00000441184
AC026471.6	ENST00000565137
AC004066.3	ENST00000514879
AQP7	ENST00000297988
SNORD97	ENST00000459187
URGCP-MRPS24	ENST00000603700
GPR182	ENST00000300098
OR8I4P	ENST00000526965
RP11-486G15.2	ENST00000605506
CATSPER4	ENST00000338855
MRPS33	ENST00000324787
RELT	ENST00000064780
AC011306.1	ENST00000451034
RARS2	ENST00000369536
RP11-461A8.4	ENST00000570409
RIPPLY2	ENST00000369689
XXbac-BPG170G13.31	ENST00000604080
XXbac-BPG170G13.31	ENST00000604495
DOPEY1	ENST00000369739
ZNF845	ENST00000458035
AC004449.6	ENST00000564240
LINC00649	ENST00000427447
ZNF30	ENST00000303586
RP11-448N11.2	ENST00000405686
NPM1P46	ENST00000399556
PPAN-P2RY11	ENST00000393796
HIST2H4B	ENST00000369157
GOLGA8K	ENST00000512626
RP11-510I6.2	ENST00000466718
DLGAP1-AS2	ENST00000572856
RP11-17G11.1	ENST00000605605
CYCSP11	ENST00000436426
RNA5SP442	ENST00000365050
ELL	ENST00000262809
RP3-417G15.1	ENST00000426577
RP5-1096J16.1	ENST00000460400
KB-1507C5.3	ENST00000523791
IRX1	ENST00000302006
RP11-615I2.1	ENST00000569654
RP1-283K11.3	ENST00000412954
AC004386.4	ENST00000393214
MED19	ENST00000431606
SLC35B3	ENST00000379660
GLULP6	ENST00000399502
RP11-568J23.4	ENST00000602789
USP22	ENST00000261497
MIR4425	ENST00000580572
ALPK2	ENST00000361673
RP11-293I14.2	ENST00000548802
SDHB	ENST00000375499
UHMK1	ENST00000489294
LAMTOR3P1	ENST00000428620
COL6A6	ENST00000358511
BLVRA	ENST00000265523
PPBPP1	ENST00000510807
RP11-117D22.1	ENST00000429099
AC009502.1	ENST00000452903
SCGB1D4	ENST00000358585
RP11-496N12.6	ENST00000433058
CTB-1048E9.7	ENST00000450463
RP11-983C2.1	ENST00000539832
SUB1P2	ENST00000556401
RNU5E-6P	ENST00000365574
RP4-537K23.4	ENST00000432062
HMGB1P25	ENST00000468402
TENM1	ENST00000422452
RP11-933H2.4	ENST00000511699
CTA-21C21.1	ENST00000603130
ADAMTS5	ENST00000284987
AC006552.1	ENST00000508484
THEG	ENST00000342640
MIR4796	ENST00000580742
SERPINF2	ENST00000324015
MRPL48P1	ENST00000445390
RP11-759L5.2	ENST00000447112
PRSS36	ENST00000268281
RN7SL291P	ENST00000487916
SPPL2B	ENST00000452401
THTPA	ENST00000288014
RP11-565N2.2	ENST00000567538
UBA1	ENST00000335972
UBA1	ENST00000604887
ATP5LP2	ENST00000440646
ARHGAP40	ENST00000373345
RP11-341A22.1	ENST00000429577
CTD-2227C6.3	ENST00000504382
AC012507.4	ENST00000454890
LINC00472	ENST00000426635
TTC21A	ENST00000301819
RER1	ENST00000488353
AC004160.4	ENST00000425837
LL0XNC01-73E8.1	ENST00000423690
AC133106.2	ENST00000419029
BASP1	ENST00000322611
RNA5S15	ENST00000365055
SNORD44	ENST00000363202
RP11-677O4.2	ENST00000561598
TRIP10	ENST00000313244
CYP4A43P	ENST00000568156
RBMY2NP	ENST00000434454
OR4A15	ENST00000314706
TRGJP2	ENST00000390334
RNU6-249P	ENST00000363016
PKM	ENST00000319622
CAPN3	ENST00000397163
RPL10A	ENST00000322203
CDH20	ENST00000262717
KRT8P43	ENST00000406052
RP11-232D9.1	ENST00000600857
RP11-232D9.1	ENST00000432026
LINC00083	ENST00000445098
MIR4760	ENST00000585040
ANKRD11	ENST00000301030
RP11-184I16.4	ENST00000437753
PLRG1	ENST00000393905
FLJ45079	ENST00000374983
SLC13A3	ENST00000279027
RNU6-1159P	ENST00000362933
PDE6B	ENST00000496514
GYG1P3	ENST00000449769
RP11-73G16.2	ENST00000507949
AC068831.12	ENST00000557387
RP11-521I2.3	ENST00000564694
MTX3	ENST00000512528
DPPA3P3	ENST00000603842
RP11-207C16.4	ENST00000426764
AC093724.2	ENST00000448659
RP11-359P5.1	ENST00000506859
MEPCE	ENST00000310512
C9orf106	ENST00000316786
CEACAM6	ENST00000609036
CEACAM6	ENST00000199764
C10orf105	ENST00000398786
RP11-822E23.8	ENST00000426261
RP11-822E23.8	ENST00000570239
CPNE5	ENST00000244751
RN7SL752P	ENST00000463779
CTD-2293H3.1	ENST00000588369
KLHL17	ENST00000338591
MIR608	ENST00000384820
MEN1	ENST00000337652
MYOF	ENST00000359263
RP11-1127D7.1	ENST00000554025
AGPAT2	ENST00000371696
OSM	ENST00000215781
FAM90A26	ENST00000432515
RP11-972K6.1	ENST00000462065
RP11-22C8.1	ENST00000522657
RP11-72L22.1	ENST00000503349
CD200R1L	ENST00000398214
SETP15	ENST00000412724
CYP1A1	ENST00000379727
CTD-2299E8.1	ENST00000502592
CTD-2287O16.1	ENST00000327878
PABPC4L	ENST00000529122
SYCE2	ENST00000293695
RP1-140A9.1	ENST00000412228
SLC39A9	ENST00000336643
OR8K3	ENST00000312711
OR8K3	ENST00000573400
RP11-681L8.1	ENST00000518105
VIM	ENST00000224237
SLC24A4	ENST00000532405
TMSB10	ENST00000233143
HTR3D	ENST00000382489
RP11-305L7.3	ENST00000457976
AC124944.5	ENST00000413586
PPP1R26P1	ENST00000474415
GS1-114I9.1	ENST00000608195
RP11-807H22.5	ENST00000542477
CTD-2158P22.4	ENST00000505780
HTN1	ENST00000246896
RP11-68I3.10	ENST00000582367
HSPB8	ENST00000281938
KRT8P29	ENST00000420409
PRG4	ENST00000445192
RNU6-877P	ENST00000383868
CLUHP4	ENST00000507604
OR1G1	ENST00000328890
GAS1	ENST00000298743
RP1	ENST00000220676
RP11-84A14.4	ENST00000445884
BPGM	ENST00000344924
TJP2	ENST00000539225
ZWILCH	ENST00000307897
OR51R1P	ENST00000435309
RP11-1046B16.1	ENST00000467051
AC084149.2	ENST00000437233
TMED4	ENST00000457408
NDUFAF4P2	ENST00000394438
BSN	ENST00000296452
TBC1D22B	ENST00000373491
HMGB3P10	ENST00000434734
EI24P4	ENST00000423683
RP11-274H2.5	ENST00000567714
EPPIN-WFDC6	ENST00000504988
AP002884.2	ENST00000595053
BEGAIN	ENST00000355173
ITGB3	ENST00000559488
ITGB3	ENST00000560629
MIR4659B	ENST00000580269
OR7A11P	ENST00000597719
MMP25	ENST00000336577
MARK2P10	ENST00000454959
CTD-2566J3.1	ENST00000554679
SEMA5B	ENST00000451055
LINC00838	ENST00000562956
RYK	ENST00000296084
SLC46A2	ENST00000374228
E2F2	ENST00000361729
HDX	ENST00000297977
TAS2R38	ENST00000567903
TAS2R38	ENST00000547270
AP001189.4	ENST00000447519
HSPE1-MOB4	ENST00000604458
RNU6-644P	ENST00000391155
RP11-111H3.3	ENST00000582231
RP11-340E6.1	ENST00000474979
ASCL1	ENST00000266744
NR1I2	ENST00000337940
TUBA3D	ENST00000321253
MEMO1P3	ENST00000459811
AC006115.6	ENST00000596823
SPATA5L1	ENST00000305560
LRRC61	ENST00000323078
RP11-92C4.6	ENST00000605631
RPS17P13	ENST00000448974
CCHCR1	ENST00000400412
CCHCR1	ENST00000383341
CCHCR1	ENST00000416163
CCHCR1	ENST00000419528
CCHCR1	ENST00000416392
CCHCR1	ENST00000396268
NDUFA7	ENST00000598884
NDUFA7	ENST00000301457
RP11-188C12.3	ENST00000371390
REG1B	ENST00000305089
BAK1	ENST00000360661
AC002069.5	ENST00000419546
SOCS2P1	ENST00000417727
HNRNPKP3	ENST00000511537
ANKRD34B	ENST00000338682
RP5-905H7.6	ENST00000426192
RP11-418J17.3	ENST00000457719
RP11-669M16.2	ENST00000514339
SAFB2	ENST00000252542
RP1-230L10.1	ENST00000452944
ZC3H10	ENST00000257940
TRAV13-2	ENST00000390439
PTPRJ	ENST00000418331
RNU7-50P	ENST00000459175
RPS29P28	ENST00000446439
ALOX12P1	ENST00000579299
CDK18	ENST00000506784
CCR7	ENST00000246657
RP11-161H23.10	ENST00000551907
RP1-251I12.1	ENST00000502680
AC104297.1	ENST00000393779
ABHD17AP3	ENST00000503096
RPL31P11	ENST00000426558
DNM3OS	ENST00000417354
LA16c-390E6.4	ENST00000563610
RNU6-165P	ENST00000517170
LINC00342	ENST00000448494
LRWD1	ENST00000292616
FAM41AY1	ENST00000421205
TNRC6B	ENST00000454349
AC007179.1	ENST00000415159
CTD-2143L24.1	ENST00000511616
HIST1H2BL	ENST00000377401
RP11-299H22.7	ENST00000569913
PPP1R1B	ENST00000254079
RP11-1035H13.2	ENST00000569096
C12orf45	ENST00000552951
BAK1P1	ENST00000417822
UBAP1	ENST00000545103
RP11-230C9.1	ENST00000402808
RP11-554D14.6	ENST00000547452
OR7E37P	ENST00000421076
TPT1P5	ENST00000511433
OR3A3	ENST00000291231
RP11-314A15.2	ENST00000426799
RP13-297E16.4	ENST00000427886
THRB-IT1	ENST00000425296
RP1-293L8.2	ENST00000423208
SRP19	ENST00000505459
FBXO9	ENST00000244426
OXGR1	ENST00000298440
TP63	ENST00000264731
ZCCHC18	ENST00000537356
ZCCHC18	ENST00000599283
CTXN1	ENST00000318978
MIR1299	ENST00000459575
RP11-352G18.2	ENST00000565993
RUVBL1	ENST00000322623
MIR5000	ENST00000577717
RP11-433P17.1	ENST00000572039
RP11-65E22.2	ENST00000468439
AE000662.93	ENST00000557232
RP11-75N6.3	ENST00000434117
RP11-455F5.4	ENST00000566190
AC137675.1	ENST00000419075
RP11-133L14.5	ENST00000544225
MIR204	ENST00000385200
AC026150.6	ENST00000564693
RP11-1079K10.4	ENST00000506504
RP1-182O16.2	ENST00000403053
CPVL	ENST00000265394
CTD-2561J22.1	ENST00000597319
ZNF571-AS1	ENST00000585578
RP11-335E6.2	ENST00000455038
OR4C4P	ENST00000415304
PPIAP28	ENST00000458378
HIST3H2BB	ENST00000369160
RBM11	ENST00000400577
CTD-2309H9.4	ENST00000523552
MIR544B	ENST00000582372
RP11-346C16.6	ENST00000603085
AP000640.10	ENST00000525337
AC097359.2	ENST00000447946
RP11-328K2.1	ENST00000518011
HMGA1P8	ENST00000414130
ENDOG	ENST00000372642
RUNX3	ENST00000338888
GAPDHP22	ENST00000491037
DZANK1	ENST00000262547
RNA5SP217	ENST00000515959
CSAG2	ENST00000599845
CSAG2	ENST00000439173
RPS5P3	ENST00000414617
RPS5P3	ENST00000570744
ZMYND10-AS1	ENST00000440013
CBR1	ENST00000290349
SNORA14A	ENST00000572676
SNORA14A	ENST00000364773
RNU6-413P	ENST00000384115
VRK3	ENST00000316763
RP11-593F5.1	ENST00000504389
TBCD	ENST00000539345
PRPF38A	ENST00000257181
RP11-351I24.3	ENST00000532615
MTUS2	ENST00000431530
RNU6-1111P	ENST00000391118
MIR153-1	ENST00000384914
RNA5SP40	ENST00000517147
SOS2	ENST00000216373
AC009228.1	ENST00000430105
RP11-366M4.8	ENST00000512492
RP5-837I24.1	ENST00000448213
RP11-626H12.1	ENST00000566483
RP11-626H12.1	ENST00000534086
RP4-669L17.8	ENST00000514436
RP11-495K9.6	ENST00000508145
AP000244.11	ENST00000424582
DEFB128	ENST00000334391
HFM1	ENST00000370425
RP11-693N9.2	ENST00000532510
MYBL1	ENST00000522677
IGHV3-65	ENST00000523210
IGHV3-65	ENST00000604374
RP11-386M24.9	ENST00000607766
SACS-AS1	ENST00000443092
AC007386.3	ENST00000455212
STARD5	ENST00000302824
CYCSP42	ENST00000450823
SNRNP70	ENST00000598441
RNA5SP430	ENST00000362429
RP11-905K4.1	ENST00000589074
PARD3-AS1	ENST00000446211
CEP63	ENST00000337090
AC009238.7	ENST00000442165
RP11-469J4.3	ENST00000468232
RP11-483E23.5	ENST00000563970
HORMAD1	ENST00000361824
ABCA9	ENST00000340001
SLC35C1	ENST00000314134
TBX18	ENST00000369663
LA16c-2F2.8	ENST00000428118
RPL12P44	ENST00000442319
ATP6V0E2	ENST00000421974
AC026202.3	ENST00000439325
MED8	ENST00000290663
RP4-597A16.2	ENST00000563570
CHD2	ENST00000394196
OVGP1	ENST00000369732
FZD10-AS1	ENST00000505807
POLE	ENST00000320574
MCM9	ENST00000316316
SPATA6	ENST00000371847
RP1-290I10.2	ENST00000405921
NME1-NME2	ENST00000608447
AC073610.5	ENST00000537495
MIR539	ENST00000365690
RP11-18M17.1	ENST00000513286
MIR499A	ENST00000384903
ATG12P2	ENST00000456830
RFC3	ENST00000380071
MIR5095	ENST00000578844
RP11-92B11.3	ENST00000578710
RP11-98J9.2	ENST00000530492
EQTN	ENST00000380032
DSTNP2	ENST00000602392
DSTNP2	ENST00000602547
PACS1	ENST00000320580
RP11-490D19.8	ENST00000418219
ACTR3BP6	ENST00000421366
RP11-89N17.2	ENST00000455149
ZC3H4	ENST00000253048
FAM138E	ENST00000507796
CARM1P1	ENST00000426329
AD000091.2	ENST00000589196
RP1-251M9.3	ENST00000437825
NTSR1	ENST00000370501
OR10J3	ENST00000332217
GPR32	ENST00000270590
GS1-259H13.2	ENST00000431679
RP11-713P17.4	ENST00000526377
KCTD9P2	ENST00000512203
CLEC2L	ENST00000422142
AC090286.2	ENST00000434303
RNF144B	ENST00000259939
TMEM108	ENST00000321871
EEF1A1P25	ENST00000495704
IGLV1-50	ENST00000390291
RWDD3	ENST00000370202
EMC7	ENST00000256545
RPL5P26	ENST00000438138
GS1-531I17.2	ENST00000605382
RPL35P2	ENST00000402419
RP11-1134I14.2	ENST00000509729
ZBTB8OSP1	ENST00000342688
RNA5SP297	ENST00000391029
ATP11A	ENST00000375630
RN7SL274P	ENST00000492268
RPS11P6	ENST00000535684
CYCSP46	ENST00000423569
PODXL	ENST00000541194
C22orf29	ENST00000328554
USP9X	ENST00000324545
PKMP1	ENST00000455804
RP11-171I2.2	ENST00000603521
RP11-87C12.2	ENST00000546333
PDIA3P2	ENST00000428073
RP11-1376P16.2	ENST00000579979
RPL7AP56	ENST00000476420
RN7SKP217	ENST00000364640
RP11-258B16.1	ENST00000591558
RP5-994D16.3	ENST00000414339
RP11-426A6.5	ENST00000415062
HMGN2P47	ENST00000559378
AP005530.2	ENST00000572608
TET2	ENST00000513237
LUCAT1	ENST00000513626
RP11-2H8.2	ENST00000552780
RP11-266A24.1	ENST00000533591
RP11-104N10.1	ENST00000565623
SEC14L4	ENST00000255858
MAATS1	ENST00000273390
AC007237.2	ENST00000442074
SNORD56B	ENST00000384713
ZNF428	ENST00000598676
RN7SKP115	ENST00000363177
SERPINA9	ENST00000337425
RP11-843B15.3	ENST00000605512
RP4-668E10.2	ENST00000605206
RP11-930P14.1	ENST00000522388
M1AP	ENST00000290536
WDR26	ENST00000414423
RP11-237D3.1	ENST00000512464
HLA-P	ENST00000413019
HLA-P	ENST00000567293
HLA-P	ENST00000568192
HLA-P	ENST00000564924
HLA-P	ENST00000563373
HLA-P	ENST00000414067
HLA-P	ENST00000566459
HLA-P	ENST00000567256
RP11-567O18.1	ENST00000526902
LCE2A	ENST00000368779
GSDMA	ENST00000301659
RP11-643A5.2	ENST00000557976
RP5-1027G4.3	ENST00000319682
FAM86B2	ENST00000262365
LANCL1	ENST00000233714
AVPR1A	ENST00000299178
CTD-2060F24.1	ENST00000522101
RP3-437C15.2	ENST00000605336
OR5M14P	ENST00000506803
KLKB1	ENST00000511608
WWTR1-IT1	ENST00000463167
TTC9B	ENST00000311308
ANK3	ENST00000280772
MFAP3L	ENST00000361618
CTD-2091N23.1	ENST00000515153
VN1R68P	ENST00000565828
CTD-2128A3.2	ENST00000557547
RP11-529G21.3	ENST00000477323
MIR4656	ENST00000579503
CTC-505O3.1	ENST00000505098
CRYAB	ENST00000227251
CRYAB	ENST00000571634
LINC00334	ENST00000584169
FSCN3	ENST00000265825
COQ3	ENST00000254759
RP11-12P19.2	ENST00000503772
RP11-680H20.2	ENST00000515097
RP11-616K6.1	ENST00000510899
RP4-633I8.3	ENST00000445254
RNF40	ENST00000324685
RN7SKP198	ENST00000459286
RANBP3	ENST00000340578
FOXP2	ENST00000408937
LINGO2	ENST00000308675
HMGB1P32	ENST00000425971
SIK2	ENST00000304987
DNAH9	ENST00000262442
RP11-673E1.3	ENST00000502554
SAMD8	ENST00000372690
RP11-533K11.1	ENST00000429245
APOBR	ENST00000564831
DCAF15	ENST00000254337
KRTAP7-1	ENST00000452750
LDHAP1	ENST00000509421
ZBTB26	ENST00000373654
RP11-524P6.1	ENST00000437466
ARHGEF11	ENST00000368194
RP5-921G16.2	ENST00000470677
GOLGA8J	ENST00000567927
RNU6-723P	ENST00000383973
RP1-152L7.5	ENST00000602367
RP5-834N19.1	ENST00000420059
RP11-1070N10.7	ENST00000602953
RP11-428C6.2	ENST00000565306
RP11-27G13.5	ENST00000605504
GOT2P5	ENST00000433995
RP11-505O17.1	ENST00000418657
WNT4	ENST00000290167
AC006499.3	ENST00000506077
CXorf51A	ENST00000458472
CXorf51A	ENST00000593386
PHF7	ENST00000327906
EXTL1	ENST00000374280
AP001476.2	ENST00000451618
ARPC3	ENST00000228825
RP11-319F12.2	ENST00000444155
GRAMD1C	ENST00000358160
ITGB1BP2	ENST00000373829
VN1R87P	ENST00000596706
SARS2	ENST00000600042
PPIAP15	ENST00000479662
RP4-539M6.19	ENST00000439838
GPHB5	ENST00000539258
RP11-61O1.1	ENST00000555776
KRT18P38	ENST00000449496
OR7E158P	ENST00000524483
RP11-662B19.2	ENST00000520055
GPD1L	ENST00000282541
FAM53A	ENST00000308132
TMED7-TICAM2	ENST00000282382
DES	ENST00000373960
BRF2	ENST00000220659
SHFM1	ENST00000413065
COMTD1	ENST00000372538
AC009495.3	ENST00000457108
HIRIP3	ENST00000279392
AC012456.4	ENST00000431500
PPP1R12C	ENST00000263433
TCEAL5	ENST00000372680
BAZ1A	ENST00000360310
DMAP1	ENST00000315913
RNU6ATAC33P	ENST00000408647
KIAA1324L	ENST00000450689
OR2W6P	ENST00000439689
AC011752.1	ENST00000417609
AC002550.5	ENST00000565916
FAM83F	ENST00000333407
RP11-536C10.13	ENST00000550518
NKX2-3	ENST00000344586
RAP1B	ENST00000250559
PPP2R2A	ENST00000315985
CHIC1	ENST00000373502
RP4-622L5.2	ENST00000515055
GCSHP5	ENST00000443090
AC009229.6	ENST00000417213
RP11-809C18.3	ENST00000451601
NMU	ENST00000264218
GGTLC1	ENST00000278765
RP11-99H20.1	ENST00000520155
RP11-323K10.1	ENST00000456086
RP11-762E8.1	ENST00000606986
RP11-734K21.3	ENST00000492300
MEIS1-AS3	ENST00000454167
HDGFL1	ENST00000230012
DUSP15	ENST00000278979
PRSS55	ENST00000328655
RP11-118H4.3	ENST00000604335
RNA5SP503	ENST00000597929
RNA5SP503	ENST00000517047
MIR3136	ENST00000583498
AC003958.2	ENST00000432258
AC003958.2	ENST00000574488
OR7E53P	ENST00000418098
