STYX	ENST00000354586
KMT2D	ENST00000301067
CASP14	ENST00000427043
EYA3	ENST00000373871
FTH1P20	ENST00000434913
CCNB1IP1	ENST00000353689
RP3-402G11.27	ENST00000610050
CXCR6	ENST00000304552
RPS23P8	ENST00000429775
RP11-569A11.2	ENST00000411431
LINC00656	ENST00000443744
RN7SKP4	ENST00000606815
RWDD2A	ENST00000369724
C16orf92	ENST00000300575
RP11-676M6.1	ENST00000526843
AC008991.1	ENST00000587850
EXD3	ENST00000340951
RP11-78E6.1	ENST00000419971
ATP7B	ENST00000242839
RP11-537P22.2	ENST00000554595
KIF20A	ENST00000394894
RP11-391A7.1	ENST00000624325
RP11-182I10.1	ENST00000442855
FAM227B	ENST00000299338
AFAP1L2	ENST00000304129
TAS2R4	ENST00000247881
NETO2	ENST00000562435
AC012494.1	ENST00000439259
RPL17P37	ENST00000490729
GS1-410F4.5	ENST00000355509
LIF	ENST00000249075
RP11-88E10.4	ENST00000613809
ARHGAP32	ENST00000310343
FAS-AS1	ENST00000620386
FAS-AS1	ENST00000615327
PRR20B	ENST00000377930
LINC00841	ENST00000451929
RNU4-52P	ENST00000384209
EP400NL	ENST00000446190
LINC01600	ENST00000624527
C9orf72	ENST00000380003
CTB-118N6.2	ENST00000508766
COX6CP5	ENST00000527162
FLJ26850	ENST00000527209
TGM5	ENST00000622115
AC091180.1	ENST00000628664
AC023128.2	ENST00000420880
MIR3144	ENST00000579460
RP1-224A6.8	ENST00000604049
RP11-177G23.2	ENST00000607718
PTRH2	ENST00000409433
RAB5CP2	ENST00000505368
RP11-398M15.1	ENST00000419614
RBM22P5	ENST00000449536
RP4-612C19.1	ENST00000413542
SSR2	ENST00000295702
SPINK7	ENST00000274565
GAPDHP21	ENST00000450301
RCAN2	ENST00000306764
STRCP1	ENST00000509801
MYRF	ENST00000278836
XPOT	ENST00000332707
AC018816.1	ENST00000621460
RP5-842K16.2	ENST00000566521
RP11-338E21.1	ENST00000546135
ACBD3	ENST00000366812
SNORD1C	ENST00000363315
HSPE1P27	ENST00000430808
OR4C7P	ENST00000533375
ADGRG3	ENST00000333493
CHRNA7	ENST00000454250
LINC00264	ENST00000412114
LINC01370	ENST00000445606
RP5-1059H15.1	ENST00000636624
HEATR4	ENST00000334988
RP11-156G14.6	ENST00000430795
DSG1	ENST00000257192
RP11-136K14.1	ENST00000430770
SEMA3G	ENST00000231721
AC006445.7	ENST00000510061
RP11-364P2.2	ENST00000515076
ABCC12	ENST00000311303
RP5-1115A15.1	ENST00000449895
UG0898H09	ENST00000623646
SELM	ENST00000400299
RP3-449H6.2	ENST00000624717
RP11-212D3.4	ENST00000413763
RP11-355O1.7	ENST00000392902
COPS5P1	ENST00000415778
RP5-1139B12.4	ENST00000602778
VSIG4	ENST00000374737
RP11-961A15.1	ENST00000576540
DNAJC8P1	ENST00000554535
CTD-3199J23.6	ENST00000464237
RNU6-278P	ENST00000390945
RP11-883G14.1	ENST00000567534
AC226119.5	ENST00000514073
RNF222	ENST00000344001
KLB	ENST00000257408
GINS3	ENST00000426538
RP11-603B24.1	ENST00000556034
TMEM41A	ENST00000421852
CLEC2D	ENST00000261340
AC106901.1	ENST00000425086
MTCYBP13	ENST00000578634
RP11-72I18.1	ENST00000429864
PRSS48	ENST00000455694
SHISA6	ENST00000441885
RNA5SP29	ENST00000410988
GAS5-AS1	ENST00000602767
LRRC3C	ENST00000377924
TMCO5A	ENST00000319669
RP11-456N14.6	ENST00000638124
RP11-294C11.5	ENST00000628927
SOX13	ENST00000367204
MCEE	ENST00000244217
OR5K2	ENST00000427338
TOPBP1	ENST00000260810
ZC3H18	ENST00000452588
RP11-537I16.2	ENST00000455173
SPATA33	ENST00000566204
CASC21	ENST00000521586
CTA-212D2.2	ENST00000447508
CTD-2371O3.2	ENST00000531111
RNU6-251P	ENST00000363235
RP11-80H18.3	ENST00000461393
CCL22	ENST00000219235
RP11-589N15.1	ENST00000525252
B4GALNT2	ENST00000300404
RMRP	ENST00000602361
RMRP	ENST00000363046
PIGFP3	ENST00000441918
GSX2	ENST00000326902
SDHAF4	ENST00000370474
ANHX	ENST00000419717
RP11-434I12.3	ENST00000518355
RP1-120G22.11	ENST00000455744
RP11-403I13.8	ENST00000621033
MON2	ENST00000393630
MYBL2	ENST00000217026
RN7SL679P	ENST00000497096
RP6-24A23.8	ENST00000624509
RP13-514E23.1	ENST00000564854
MIR5694	ENST00000581190
RP11-708J19.3	ENST00000610904
CTD-2529P6.3	ENST00000594006
MIR6078	ENST00000611069
RP11-128P17.3	ENST00000587114
DIRC3	ENST00000423123
RNA5SP353	ENST00000364606
MINOS1-NBL1	ENST00000602662
AC006499.5	ENST00000510947
FLJ31662	ENST00000424943
SNRPE	ENST00000414487
NFKBIA	ENST00000216797
CTB-113P19.1	ENST00000510576
CTC-472C24.1	ENST00000508636
OAZ1	ENST00000602676
RP11-100K18.1	ENST00000577382
CCNC	ENST00000520429
CTAGE15	ENST00000420911
GNS	ENST00000543646
RP11-497H16.5	ENST00000508439
CTD-2537O9.1	ENST00000534275
PPM1N	ENST00000451287
LTV1P1	ENST00000510683
OSM	ENST00000215781
GPX3	ENST00000388825
CHCHD2P7	ENST00000508008
EDEM2	ENST00000374492
RP1-130G2.1	ENST00000446953
CYP2A6	ENST00000301141
RNA5SP74	ENST00000363538
TSPAN33	ENST00000486685
RP11-20I23.13	ENST00000563449
SLC29A4	ENST00000297195
MIR1972-1	ENST00000459337
ATP5A1P3	ENST00000573189
SIM2	ENST00000290399
SNORD3D	ENST00000630092
SNORD3D	ENST00000619178
GDPD5	ENST00000336898
CEP120	ENST00000306467
SLC10A1	ENST00000216540
RP11-430G17.3	ENST00000605725
OR4A8	ENST00000418689
RP11-326E22.1	ENST00000521685
RP11-124I4.2	ENST00000421465
AC013444.1	ENST00000428909
ABHD12	ENST00000376542
OR7E39P	ENST00000609433
RP11-92C4.3	ENST00000589105
RP11-552M11.8	ENST00000564771
COQ5	ENST00000288532
SNORD100	ENST00000408573
RP11-114H24.2	ENST00000562938
RP11-383G10.3	ENST00000448403
OR7H1P	ENST00000448965
RNY4P3	ENST00000365254
RASGRP3	ENST00000402538
RNU6-1299P	ENST00000516316
A1BG-AS1	ENST00000595302
PSG3	ENST00000595140
CTD-2522E6.4	ENST00000456427
SEMA3C	ENST00000265361
AC072062.3	ENST00000628464
MATN1-AS1	ENST00000414532
RP11-476I15.5	ENST00000614601
CROCCP1	ENST00000426910
LINC00029	ENST00000370341
LINC01619	ENST00000551843
F5	ENST00000367796
RP11-861E21.1	ENST00000589843
AP006621.9	ENST00000527021
XRCC1	ENST00000262887
SDSL	ENST00000345635
RP11-61N20.3	ENST00000526165
C4orf36	ENST00000295898
KLHDC9	ENST00000368011
RP11-799D4.3	ENST00000585646
DEFB104A	ENST00000314265
LINC01159	ENST00000433433
WFS1	ENST00000226760
EP300	ENST00000263253
RP11-490O6.2	ENST00000572811
RP11-269G24.3	ENST00000583552
GAPDHP15	ENST00000398586
XYLT1	ENST00000261381
RCC2P1	ENST00000452257
JMJD7-PLA2G4B	ENST00000382448
MYBPHL	ENST00000357155
CTC-445B21.1	ENST00000637009
RP5-973N23.4	ENST00000417465
LINC00453	ENST00000455857
RP11-390B4.3	ENST00000445235
RP11-381O6.1	ENST00000615941
CD209	ENST00000315599
SDE2	ENST00000272091
TSPAN15	ENST00000373290
PAK6	ENST00000260404
RP1-149M18.4	ENST00000623968
DHRS7B	ENST00000395511
AP000343.1	ENST00000440602
DARS-AS1	ENST00000594219
MIR6723	ENST00000621981
ATP5J	ENST00000400099
MAS1LP1	ENST00000419416
GTPBP3	ENST00000358792
RP11-137J7.2	ENST00000454401
SARAF	ENST00000521265
IFT43	ENST00000238628
ZNF621	ENST00000339296
PPP2R5E	ENST00000337537
CYP2B6	ENST00000324071
RP1-292B18.4	ENST00000415477
CTD-2516F10.4	ENST00000530963
AC107079.1	ENST00000416509
FST	ENST00000256759
AC007562.1	ENST00000421819
RGPD2	ENST00000398146
RP11-712L6.8	ENST00000616637
RN7SL36P	ENST00000469345
RPS15AP7	ENST00000439294
RNU6-873P	ENST00000363833
RP11-466A19.1	ENST00000581360
AJ011932.1	ENST00000621707
HIST1H2BD	ENST00000289316
AC118653.2	ENST00000442627
TMEM97P2	ENST00000517841
FKBP4P8	ENST00000610931
RP11-276M12.1	ENST00000559299
LRP3	ENST00000253193
RPS20P33	ENST00000476081
POSTN	ENST00000379747
RP11-440L14.1	ENST00000503185
EIF3L	ENST00000412331
RP11-335K5.2	ENST00000559120
RPS10	ENST00000344700
CTPS2	ENST00000359276
RP11-83B20.8	ENST00000624789
AC135050.5	ENST00000568708
RNU6-238P	ENST00000363313
RP11-485M7.1	ENST00000505029
RP11-24M17.5	ENST00000566174
EVPLL	ENST00000399134
CTD-2076M15.1	ENST00000561587
RP3-468K18.5	ENST00000545614
RN7SKP298	ENST00000515950
RP11-441M10.1	ENST00000462872
CTD-2377D24.4	ENST00000495536
AC007950.1	ENST00000560465
SNX15	ENST00000377244
DIRC3-AS1	ENST00000452813
UQCRHL	ENST00000483273
MTND6P13	ENST00000443510
LA16c-380A1.2	ENST00000623057
RP11-110G21.1	ENST00000423716
RP5-1011O1.3	ENST00000457321
TNS3	ENST00000311160
RAB35	ENST00000229340
RP11-1006G14.2	ENST00000565305
POLR3GP2	ENST00000588366
KIAA1549L	ENST00000321505
RP11-354I13.2	ENST00000565506
PEMT	ENST00000255389
SLX4	ENST00000294008
RNU6-595P	ENST00000363944
RNU7-2P	ENST00000516096
HMGCS2	ENST00000369406
AC096669.3	ENST00000443205
C3orf56	ENST00000624688
AC007285.6	ENST00000422239
SNORD30	ENST00000391309
SNORD30	ENST00000384693
BSN-AS1	ENST00000442384
RN7SL89P	ENST00000480252
RP11-483E23.4	ENST00000564639
RP11-149I23.3	ENST00000437032
RP4-591L5.1	ENST00000427319
RP11-845C23.2	ENST00000587933
MPP7	ENST00000337532
WDR77	ENST00000235090
RP11-107P7.6	ENST00000525324
HDHD2	ENST00000300605
CCL17	ENST00000219244
RN7SL152P	ENST00000484176
RHNO1	ENST00000489288
PPM1E	ENST00000308249
UPK1A-AS1	ENST00000443196
AC007193.8	ENST00000598616
SPTBN5	ENST00000320955
JAK1	ENST00000342505
RP11-1216L17.1	ENST00000450440
AC007325.3	ENST00000615362
RNU6-286P	ENST00000384745
RP11-744D14.2	ENST00000565257
SUMO1P1	ENST00000497904
CTD-2210A23.1	ENST00000520250
RNU6-799P	ENST00000363567
GACAT3	ENST00000426539
DNAJB8	ENST00000319153
TNFSF8	ENST00000223795
CEND1P1	ENST00000451006
RP11-459A10.1	ENST00000437297
RP1-37J18.2	ENST00000634256
OR5AN1	ENST00000313940
RP11-262M14.2	ENST00000487828
ACTBP12	ENST00000435871
STAR	ENST00000276449
RP11-697E2.12	ENST00000622269
CTB-33O18.2	ENST00000520300
RP5-937E21.8	ENST00000431993
RP11-182L21.6	ENST00000605920
REEP5	ENST00000379638
CTD-3073N11.7	ENST00000594712
KLHL1	ENST00000377844
AF131216.6	ENST00000498997
RNY3P7	ENST00000384073
ARGFX	ENST00000334384
RP11-231E6.3	ENST00000637950
DNAJC24	ENST00000465995
PLEKHM2	ENST00000375799
CH17-140K24.5	ENST00000623407
SNORA12	ENST00000390873
SNORA12	ENST00000391040
SNORA12	ENST00000391162
DYNLT1	ENST00000367089
IGLV3-21	ENST00000390308
RP11-386E5.1	ENST00000637776
SUSD2	ENST00000358321
TMOD4	ENST00000295314
TSR1	ENST00000301364
AC009237.8	ENST00000442128
EML1	ENST00000334192
C11orf91	ENST00000379011
RNU6-1013P	ENST00000384180
WLS	ENST00000354777
EFCAB8	ENST00000400522
RP11-383M4.2	ENST00000427387
RP11-96J15.1	ENST00000438252
MAN2A1	ENST00000261483
RASA2	ENST00000452898
RP11-312J18.7	ENST00000450131
HIST1H3E	ENST00000614911
AC018755.18	ENST00000429354
RP11-209D14.4	ENST00000583067
RP11-25I11.1	ENST00000583580
RP11-776A13.1	ENST00000549055
RP13-726E6.2	ENST00000637148
MRPS18BP1	ENST00000414228
CTC-542B22.2	ENST00000583236
MINK1	ENST00000355280
RP1-274L7.3	ENST00000604558
AASDH	ENST00000205214
IMPG1	ENST00000369950
CTC-369A16.2	ENST00000510004
RP11-429D19.1	ENST00000560248
MARK2P15	ENST00000432204
TNKS	ENST00000310430
LLGL1	ENST00000316843
PIGG	ENST00000453061
RP11-142A5.1	ENST00000456952
RP11-712C19.1	ENST00000604597
RP11-415I12.1	ENST00000473404
RP11-276H19.4	ENST00000437925
AC084219.2	ENST00000591793
RP11-58E21.1	ENST00000494283
DUX4L22	ENST00000618238
CRTC1	ENST00000338797
IGSF9	ENST00000368094
RP11-815J4.5	ENST00000589352
AC074121.4	ENST00000441836
FAM131C	ENST00000375662
RPL8P2	ENST00000430538
RP11-124O11.1	ENST00000421320
ABCD1P5	ENST00000445663
AC005517.3	ENST00000452091
LDHAL6B	ENST00000307144
RP4-575N6.4	ENST00000432195
C6orf89	ENST00000355190
RP11-236L14.1	ENST00000558860
RP11-12K22.1	ENST00000508825
RPL7P7	ENST00000428803
SLC4A7	ENST00000454389
ZNF239	ENST00000306006
RP11-80I15.1	ENST00000433735
MS4A8	ENST00000300226
SRSF2	ENST00000359995
CNNM3	ENST00000305510
AC092535.3	ENST00000417557
PIGT	ENST00000279036
MAF1	ENST00000534585
KCTD9P4	ENST00000526766
IGLV2-5	ENST00000522922
BOLA3P3	ENST00000505182
FAM219B	ENST00000357635
ACBD4	ENST00000431281
HCAR3	ENST00000528880
CTA-363E6.6	ENST00000561762
DNAJA1	ENST00000330899
IFNA11P	ENST00000446352
GPC5	ENST00000377067
RP11-20L19.1	ENST00000549669
AC004069.2	ENST00000504082
CA4	ENST00000300900
SLC25A53	ENST00000594199
RP11-326C3.7	ENST00000526612
VTA1P2	ENST00000520205
SDR16C6P	ENST00000524136
RP11-697E2.7	ENST00000579581
ATP5J2-PTCD1	ENST00000413834
RPL10P8	ENST00000522888
CCDC183	ENST00000338005
PRPH2	ENST00000230381
RNASEH1	ENST00000315212
AC006037.2	ENST00000437967
POGLUT1	ENST00000295588
RP1-287H17.1	ENST00000447557
CERCAM	ENST00000372838
RP11-586K12.5	ENST00000570107
NLRP11	ENST00000589093
ACER3	ENST00000532485
AC017079.4	ENST00000416102
CTD-2047H16.2	ENST00000576808
SUSD6	ENST00000342745
ATRNL1	ENST00000355044
GTSF1	ENST00000546931
BRMS1	ENST00000425825
CLMN	ENST00000298912
LRRC53	ENST00000294635
IREB2	ENST00000258886
LINC01205	ENST00000497996
RP11-571L19.8	ENST00000609071
RP11-5P18.5	ENST00000437156
CTD-2256P15.5	ENST00000607847
RPL9P31	ENST00000495117
SNORD117	ENST00000364915
C15orf40	ENST00000451195
ARHGEF6	ENST00000250617
DBIP1	ENST00000401435
GLE1	ENST00000309971
RP11-471B22.2	ENST00000555853
FBXO42	ENST00000375592
CNDP1	ENST00000358821
DKK3	ENST00000525493
TAGAP	ENST00000367066
ALDH3B1	ENST00000342456
RN7SL810P	ENST00000493031
RP11-561C5.4	ENST00000560756
RN7SKP160	ENST00000363804
SNUPN	ENST00000308588
RP11-493L12.7	ENST00000615076
RP11-401O9.4	ENST00000609088
CTD-2647E9.1	ENST00000558657
RP11-218F4.1	ENST00000567574
FEM1AP4	ENST00000443167
MTND4P30	ENST00000450281
RP11-8L18.3	ENST00000411602
PBOV1	ENST00000527246
ANKRD34A	ENST00000606888
WNT5A-AS1	ENST00000469484
SNRPBP1	ENST00000443634
GADD45GIP1	ENST00000316939
CPZ	ENST00000360986
TSPY1	ENST00000446779
AC231657.1	ENST00000624556
SNORD114-22	ENST00000365423
FZD7	ENST00000286201
KIF17	ENST00000247986
NKX6-1	ENST00000295886
DPYD-IT1	ENST00000424982
C7orf55-LUC7L2	ENST00000541515
SCG2	ENST00000305409
ZNF429	ENST00000358491
OR11H2	ENST00000556246
CTD-2015A6.2	ENST00000510845
RP11-568N6.1	ENST00000561559
RPL24P2	ENST00000421023
LRRC61	ENST00000323078
RP11-415F23.2	ENST00000607464
ERI3	ENST00000372257
RP11-296A18.5	ENST00000480705
TRBVB	ENST00000477100
RP11-167H9.3	ENST00000464673
CTB-78H18.1	ENST00000524175
AC006460.2	ENST00000421437
LINC00936	ENST00000605386
TRO	ENST00000173898
DEFB119	ENST00000376315
MTND4P7	ENST00000523876
CH507-145C22.3	ENST00000623225
IFNL3	ENST00000613087
XXbac-BPG294E21.9	ENST00000630418
HNRNPA1P37	ENST00000404243
RNU7-96P	ENST00000459535
MIR223	ENST00000621933
RP5-1049N15.2	ENST00000420179
CTD-2542C24.8	ENST00000598137
ERVW-1	ENST00000493463
RP11-360O19.4	ENST00000413129
AC004066.3	ENST00000514879
RNU1-54P	ENST00000517181
TOMM6	ENST00000398881
CTD-2331H12.7	ENST00000594546
LINC01073	ENST00000441659
RP13-726E6.1	ENST00000534291
GATA2	ENST00000341105
COQ8A	ENST00000366777
RP11-56L13.1	ENST00000566232
TSC22D2	ENST00000361875
RP11-1078H9.5	ENST00000557007
RPL21P8	ENST00000465083
OR7E14P	ENST00000526721
RP11-941H19.3	ENST00000522044
LINC01591	ENST00000522279
RP11-119J18.1	ENST00000637197
AKR1B15	ENST00000423958
RP11-354O24.1	ENST00000505511
MT-ND1	ENST00000361390
RP11-423H2.1	ENST00000506672
RP11-601I15.1	ENST00000493291
MMP7	ENST00000260227
MIR4450	ENST00000583589
SLF1	ENST00000265140
BCAT2	ENST00000593515
MIR8068	ENST00000618032
RP5-984P4.6	ENST00000622757
AC114877.3	ENST00000446601
LINC01625	ENST00000454788
RP1-13D10.3	ENST00000404531
EMID1	ENST00000404820
RP11-349G13.2	ENST00000559536
RP11-434I12.5	ENST00000521579
TRIM37	ENST00000262294
RP11-310H4.3	ENST00000449899
RP3-405J10.4	ENST00000551284
MTND2P28	ENST00000457540
RP11-570J4.1	ENST00000624736
OR4C1P	ENST00000530880
SAGE3P	ENST00000619800
KPNA4	ENST00000334256
CTD-2192J16.26	ENST00000593554
AC139099.5	ENST00000574098
METTL8P1	ENST00000428182
GAPT	ENST00000318469
RNU7-92P	ENST00000458830
IVNS1ABP	ENST00000367498
AGGF1P10	ENST00000635005
MIR3136	ENST00000583498
MIR365B	ENST00000412403
RP3-508I15.19	ENST00000418803
SNORD14E	ENST00000364009
CTD-3220F14.1	ENST00000612804
AC005522.7	ENST00000434531
TSEN2	ENST00000284995
FAM24A	ENST00000368894
ADAM20P2	ENST00000515830
AC023271.1	ENST00000445936
MEPE	ENST00000395102
CTD-2509G16.3	ENST00000555838
AGGF1P4	ENST00000568249
CLCA4	ENST00000370563
CTD-2517M22.9	ENST00000529377
OR5T1	ENST00000313033
RP11-678G15.1	ENST00000584036
RNU6-7	ENST00000364784
RP11-403A21.3	ENST00000578443
RN7SL601P	ENST00000471221
TSPY26P	ENST00000565928
RP11-219E7.4	ENST00000553534
RNU6-1246P	ENST00000391064
RP11-43F13.1	ENST00000507841
BTN3A2	ENST00000356386
RP11-340C20.3	ENST00000603008
USP9YP9	ENST00000429406
ADH7	ENST00000476959
WDR76	ENST00000263795
SLC26A7	ENST00000309536
RP11-667F14.1	ENST00000624389
RP11-371E8.2	ENST00000553543
CDRT7	ENST00000568256
AC243945.1	ENST00000623775
TNNC2	ENST00000372555
RP11-54O7.18	ENST00000442292
C9orf129	ENST00000375419
AF186192.1	ENST00000525376
C6orf99	ENST00000367073
RP1-292B18.1	ENST00000405720
ECT2L	ENST00000367682
SNX30	ENST00000374232
RBBP9	ENST00000337227
RBM4B	ENST00000310046
RP11-525K10.2	ENST00000566030
PPIAP13	ENST00000434706
PTH2R	ENST00000272847
RP11-467H10.2	ENST00000459742
AP000343.2	ENST00000450776
RNU6-1055P	ENST00000391085
CTC-512J12.7	ENST00000605717
TMEM207	ENST00000354905
RNU1-124P	ENST00000363861
RP11-201A3.1	ENST00000569873
LINC01040	ENST00000425048
GLS2	ENST00000311966
HMGN2P47	ENST00000559378
MTND6P11	ENST00000431890
SMG1P1	ENST00000309865
MTMR9LP	ENST00000441044
CDKL1	ENST00000395834
TAPBPL	ENST00000266556
RP11-184B22.2	ENST00000416693
CLASRP	ENST00000221455
LINC01389	ENST00000420876
CTA-243E7.1	ENST00000623980
EXO1	ENST00000348581
RP11-586K2.1	ENST00000521936
MIR4787	ENST00000607364
RNA5SP305	ENST00000362665
NANOGP4	ENST00000427230
RP11-881M11.2	ENST00000544421
TDGF1P2	ENST00000413322
CDY20P	ENST00000447528
CTD-3154N5.2	ENST00000617850
MIR125B2	ENST00000385128
RP11-829H16.1	ENST00000480072
MIR941-4	ENST00000401376
AC016734.2	ENST00000436998
NSUN7	ENST00000381782
CEACAMP6	ENST00000452007
HNRNPUL1	ENST00000392006
RP11-440L16.1	ENST00000577726
CDC42EP1	ENST00000249014
HTR1E	ENST00000305344
LINC00279	ENST00000413486
PHKA2	ENST00000379942
RPL21P7	ENST00000557463
RP5-986I17.2	ENST00000428769
AC079325.5	ENST00000430386
AC009134.1	ENST00000571939
SFTA1P	ENST00000446372
RP4-728D4.2	ENST00000444348
RP11-122G18.12	ENST00000636161
HMGB3P31	ENST00000413333
RP11-10O17.1	ENST00000563287
MTND5P40	ENST00000559945
RP4-798P15.3	ENST00000466953
RP11-141C7.5	ENST00000633223
ZNF90P1	ENST00000480493
HCG11	ENST00000411553
SNRPGP6	ENST00000451124
TBCD	ENST00000539345
NUDT19	ENST00000397061
RP11-574K11.26	ENST00000623633
ANGEL1	ENST00000251089
RP11-32B5.7	ENST00000500487
AC008072.1	ENST00000434254
GSG1	ENST00000432710
SNAP25	ENST00000254976
NDUFS7	ENST00000414651
SEPHS2P1	ENST00000511618
CLTA	ENST00000464497
RNU6-777P	ENST00000364265
TBC1D4	ENST00000377636
DEFA5	ENST00000330590
DNAH11	ENST00000328843
GOLGA2	ENST00000421699
FAM3B	ENST00000398652
AC015691.13	ENST00000394793
RN7SL278P	ENST00000488843
RP11-789F5.1	ENST00000479244
RPSAP4	ENST00000488229
RP11-627G18.4	ENST00000578741
RNA5-8S5	ENST00000616292
RNA5-8S5	ENST00000613359
RNA5-8S5	ENST00000618998
RNA5-8S5	ENST00000611446
RNA5-8S5	ENST00000619471
RNA5-8S5	ENST00000612463
RNA5-8S5	ENST00000610460
RNA5-8S5	ENST00000619779
MBOAT4	ENST00000320542
PRRX2	ENST00000372469
CTA-305I2.1	ENST00000566572
RP11-430E17.1	ENST00000621223
UBL5P1	ENST00000507979
RNU6-1001P	ENST00000411265
MIR5695	ENST00000579717
AC138035.3	ENST00000622706
LIN28B-AS1	ENST00000636682
EIF3A	ENST00000369144
RP1-66N13.4	ENST00000615740
RP3-393E18.3	ENST00000615580
RP11-661A12.7	ENST00000529247
VWA3A	ENST00000389398
RP11-370A5.2	ENST00000609775
RP11-75C10.9	ENST00000591110
RP5-940J5.6	ENST00000501075
CITF22-1A6.3	ENST00000610245
STRIP2	ENST00000249344
KRTAP20-3	ENST00000382826
RP11-598D14.1	ENST00000506984
HNRNPCP1	ENST00000556181
ADAM8	ENST00000445355
RP1-39G22.7	ENST00000567508
RP13-26D14.2	ENST00000412817
MTCO3P30	ENST00000426425
GDF1	ENST00000247005
RP11-887P2.3	ENST00000548270
EGFR	ENST00000275493
RP11-234P3.2	ENST00000428250
DEFB108P2	ENST00000400154
CTB-55O6.10	ENST00000590715
THSD4-AS1	ENST00000562634
RN7SL546P	ENST00000479428
GS1-124K5.3	ENST00000450353
RP11-60A8.1	ENST00000513379
HIST1H2AL	ENST00000613174
RN7SKP225	ENST00000410405
C9	ENST00000263408
RP11-482E14.2	ENST00000426811
TYROBP	ENST00000585901
RNU6-477P	ENST00000383887
SFTPD	ENST00000372292
LINC01548	ENST00000451980
AC010907.2	ENST00000456450
RP11-44N21.4	ENST00000548203
RN7SL557P	ENST00000581047
RNA5SP190	ENST00000365222
NOP14-AS1	ENST00000515194
IFITM8P	ENST00000522529
RP11-88L20.1	ENST00000611221
SDHDP1	ENST00000588055
AC013461.1	ENST00000375213
COX4I1P2	ENST00000447446
TCEB1P26	ENST00000436067
ACER1	ENST00000301452
SH2D2A	ENST00000392306
RP13-514E23.2	ENST00000610225
SDPR	ENST00000304141
RP11-500K19.1	ENST00000490647
DUX4L14	ENST00000621227
RP11-630A13.4	ENST00000624463
GEMIN2P1	ENST00000454246
HSFY7P	ENST00000432672
AKNA	ENST00000307564
LLNLR-276H7.1	ENST00000624007
JMJD7	ENST00000397299
FAM86LP	ENST00000478302
ZNF503	ENST00000372524
RP11-153F1.2	ENST00000414923
KRTCAP3	ENST00000288873
MIR101-2	ENST00000362195
RP11-150D5.2	ENST00000568714
MIR539	ENST00000365690
BET1P1	ENST00000482276
RP11-785H5.2	ENST00000543969
MIR4650-1	ENST00000579075
ERAP2	ENST00000437043
RP11-927P21.9	ENST00000607347
AC127383.1	ENST00000444697
RNA5SP420	ENST00000516997
MTCO3P28	ENST00000513351
RP11-128N14.5	ENST00000613261
OR52T1P	ENST00000435078
OR2L13	ENST00000358120
LGR6	ENST00000367278
RP11-1H15.2	ENST00000533659
AC012671.2	ENST00000451912
MIR6828	ENST00000636181
